GraphName,Seed,Nodes,Edges,Conflicts,Density,ConflictProbability,IsConnected
G10_D0.20_C0.10,1,10,9,4,0.2,0.1,True
G10_D0.20_C0.10,2,10,9,11,0.2,0.1,True
G10_D0.20_C0.10,3,10,9,6,0.2,0.1,True
G10_D0.20_C0.10,4,10,9,6,0.2,0.1,True
G10_D0.20_C0.10,5,10,9,6,0.2,0.1,True
G10_D0.20_C0.10,6,10,9,8,0.2,0.1,True
G10_D0.20_C0.10,7,10,9,6,0.2,0.1,True
G10_D0.20_C0.10,8,10,9,2,0.2,0.1,True
G10_D0.20_C0.10,9,10,9,5,0.2,0.1,True
G10_D0.20_C0.10,10,10,9,3,0.2,0.1,True
G10_D0.20_C0.20,1,10,9,7,0.2,0.2,True
G10_D0.20_C0.20,2,10,9,12,0.2,0.2,True
G10_D0.20_C0.20,3,10,9,7,0.2,0.2,True
G10_D0.20_C0.20,4,10,9,8,0.2,0.2,True
G10_D0.20_C0.20,5,10,9,15,0.2,0.2,True
G10_D0.20_C0.20,6,10,9,14,0.2,0.2,True
G10_D0.20_C0.20,7,10,9,13,0.2,0.2,True
G10_D0.20_C0.20,8,10,9,10,0.2,0.2,True
G10_D0.20_C0.20,9,10,9,9,0.2,0.2,True
G10_D0.20_C0.20,10,10,9,13,0.2,0.2,True
G10_D0.20_C0.30,1,10,9,11,0.2,0.3,True
G10_D0.20_C0.30,2,10,9,16,0.2,0.3,True
G10_D0.20_C0.30,3,10,9,10,0.2,0.3,True
G10_D0.20_C0.30,4,10,9,10,0.2,0.3,True
G10_D0.20_C0.30,5,10,9,18,0.2,0.3,True
G10_D0.20_C0.30,6,10,9,16,0.2,0.3,True
G10_D0.20_C0.30,7,10,9,15,0.2,0.3,True
G10_D0.20_C0.30,8,10,9,13,0.2,0.3,True
G10_D0.20_C0.30,9,10,9,15,0.2,0.3,True
G10_D0.20_C0.30,10,10,9,17,0.2,0.3,True
G10_D0.40_C0.10,1,10,18,5,0.4,0.1,True
G10_D0.40_C0.10,2,10,18,9,0.4,0.1,True
G10_D0.40_C0.10,3,10,18,6,0.4,0.1,True
G10_D0.40_C0.10,4,10,18,5,0.4,0.1,True
G10_D0.40_C0.10,5,10,18,7,0.4,0.1,True
G10_D0.40_C0.10,6,10,18,7,0.4,0.1,True
G10_D0.40_C0.10,7,10,18,5,0.4,0.1,True
G10_D0.40_C0.10,8,10,18,3,0.4,0.1,True
G10_D0.40_C0.10,9,10,18,4,0.4,0.1,True
G10_D0.40_C0.10,10,10,18,7,0.4,0.1,True
G10_D0.40_C0.20,1,10,18,10,0.4,0.2,True
G10_D0.40_C0.20,2,10,18,11,0.4,0.2,True
G10_D0.40_C0.20,3,10,18,10,0.4,0.2,True
G10_D0.40_C0.20,4,10,18,9,0.4,0.2,True
G10_D0.40_C0.20,5,10,18,13,0.4,0.2,True
G10_D0.40_C0.20,6,10,18,11,0.4,0.2,True
